band_prefix,band_suffix,band_n,sex,territory,year,month,day,presence_absence
2661,76844,266176844,male,8,2021,5,14,0
2981,13767,298113767,female,8,2021,5,14,0
2661,76844,266176844,male,8,2021,5,19,1
2981,13767,298113767,female,8,2021,5,19,1
2661,76844,266176844,male,8,2021,5,23,NA
2981,13767,298113767,female,8,2021,5,23,1
2661,76844,266176844,male,8,2021,5,28,NA
2981,13767,298113767,female,8,2021,5,28,1
2661,76844,266176844,male,8,2021,5,29,1
2981,13767,298113767,female,8,2021,5,29,1
2661,76844,266176844,male,8,2021,6,7,1
2981,13767,298113767,female,8,2021,6,7,1
2661,76971,266176971,male,8,2021,6,8,1
2661,76844,266176844,male,8,2021,6,8,1
2981,13767,298113767,female,8,2021,6,8,1
,,gyowm,,8,2021,6,30,1
2661,76844,266176844,male,8,2021,7,2,NA
2981,13767,298113767,female,8,2021,7,2,NA
2981,13767,298113767,female,8,2021,7,11,NA
2661,76844,266176844,male,8,2021,7,11,1
2661,76966,266176966,male,9,2021,4,28,NA
2541,91793,254191793,female,9,2021,4,28,1
2661,76966,266176966,male,9,2021,5,5,NA
2541,91793,254191793,female,9,2021,5,5,1
2661,76966,266176966,male,9,2021,5,7,NA
2541,91793,254191793,female,9,2021,5,7,1
2661,76966,266176966,male,9,2021,5,13,NA
2541,91793,254191793,female,9,2021,5,13,1
2661,76966,266176966,male,9,2021,5,14,1
2541,91793,254191793,female,9,2021,5,14,1
2661,76966,266176966,male,9,2021,5,21,1
2541,91793,254191793,female,9,2021,5,21,0
2661,76966,266176966,male,9,2021,5,29,1
2661,76966,266176966,male,9,2021,5,30,1
2541,91793,254191793,female,9,2021,5,30,1
2661,76966,266176966,male,9,2021,6,7,1
2541,91793,254191793,female,9,2021,6,7,1
2661,76966,266176966,male,9,2021,6,8,1
2541,91793,254191793,female,9,2021,6,8,1
2661,76966,266176966,male,9,2021,6,10,NA
2541,91793,254191793,female,9,2021,6,10,1
2661,76966,266176966,male,9,2021,7,19,NA
2541,91793,254191793,female,9,2021,7,19,NA
2541,91793,254191793,female,9,2021, ,29,0
2661,76904,266176904,male,10,2021,4,27,NA
2981,13710,298113710,female,10,2021,4,27,NA
2661,76904,266176904,male,10,2021,5,6,NA
2981,13710,298113710,female,10,2021,5,6,NA
2661,76904,266176904,male,10,2021,5,13,NA
2981,13710,298113710,female,10,2021,5,13,NA
2661,76904,266176904,male,10,2021,5,21,1
2981,13710,298113710,female,10,2021,5,21,0
2661,76904,266176904,male,10,2021,5,26,NA
2981,13710,298113710,female,10,2021,5,26,1
2661,76904,266176904,male,10,2021,6,7,1
2981,13710,298113710,female,10,2021,6,7,0
2981,13710,298113710,female,10,2021,6,15,NA
2661,76904,266176904,male,10,2021,6,15,1
2981,13710,298113710,female,10,2021,6,30,NA
2661,76904,266176904,male,10,2021,6,30,1
2541,91789,254191789,female,10,2021,7,1,1
2661,76904,266176904,male,10,2021,7,6,1
2981,13710,298113710,female,10,2021,7,6,0
2661,76904,266176904,male,10,2021,7,11,1
